curso,code,url
Razonamiento Abstracto  (Curso de Apoyo) (Edición 2),ABSRSAPY2,/courses/course-v1:UTPL+ABSRSAPY2+2019_2/about
Preparación Específica para la Prueba de Admisión (Curso de Apoyo) (Edición 2),ADMSSAPY2,/courses/course-v1:UTPL+ADMSSAPY2+2019_2/about
Biología (Curso de Apoyo) (Edición 2),BIOLGAPY2,/courses/course-v1:UTPL+BIOLGAPY2+2019_2/about
Química general (curso de apoyo) (Edición 2),GENCHEM2,/courses/course-v1:UTPL+GENCHEM2+2019_2/about
Fundamentos matemáticos (curso de apoyo) (Edición 2),MATHFUND2,/courses/course-v1:UTPL+MATHFUND2+2019_2/about
Comprensión Lectora (Curso de Apoyo) (Edición 2),READAPY2,/courses/course-v1:UTPL+READAPY2+2019_2/about
Orientación Vocacional (curso de apoyo) (Edición 2),VOCATORIENT2,/courses/course-v1:UTPL+VOCATORIENT2+2019_2/about
Administración I (Edición 2),ADMINI2,/courses/course-v1:UTPL+ADMINI2+2019_2/about
Contaminación Atmosférica (Edición 11),AIRPOLLUTION11,/courses/course-v1:UTPL+AIRPOLLUTION11+2019_2/about
Conocimiento ancestral de plantas medicinales (Edición 12),AKOMP12,/courses/course-v1:UTPL+AKOMP12+2019_2/about
Métodos alternativos de resolución de conflictos (Edición 6),AMOCR6,/courses/course-v1:UTPL+AMOCR6+2019_2/about
Antropología Básica (Edición 5),ANTRPY5,/courses/course-v1:UTPL+ANTRPY5+2019_2/about
Producción Audiovisual (Edición 6),AUDIOVPRO6,/courses/course-v1:UTPL+AUDIOVPRO6+2019_2/about
Desarrollo comunitario (Edición 12),CD12,/courses/course-v1:UTPL+CD12+2019_2/about
Fundamentos informáticos (Edición 2),COMPFUND2,/courses/course-v1:UTPL+COMPFUND2+2019_2/about
Prevención integral del consumo de sustancias (Edición 6),COOSU6,/courses/course-v1:UTPL+COOSU6+2019_2/about
Manejo y análisis de bases de datos (Edición 3),DBMAA3,/courses/course-v1:UTPL+DBMAA3+2019_1/about
Manejo y análisis de bases de datos (Edición 4),DBMAA4,/courses/course-v1:UTPL+DBMAA4+2019_2/about
Microbiología Ambiental y Agrícola (Edición 5),EAAM5,/courses/course-v1:UTPL+EAAM5+2019_2/about
Emprendimiento y generación de ideas (Edición 5),EAIG5,/courses/course-v1:UTPL+EAIG5+2019_2/about
Economía a tu alcance (Edición 5),EAUF5,/courses/course-v1:UTPL+EAUF5+2019_2/about
Educación para una alimentación saludable (Edición 12),EFHE12,/courses/course-v1:UTPL+EFHE12+2019_2/about
Ética Moral (Edición 2),ETHIC2,/courses/course-v1:UTPL+ETHIC2+2019_2/about
Bebidas alcohólicas fermentadas (Edición 10),FERBEV10,/courses/course-v1:UTPL+FERBEV10+2019_2/about
Biología general (Edición 2),GENBIOL2,/courses/course-v1:UTPL+GENBIOL2+2019_2/about
Pedagogía General (Edición 2),GPDGY2,/courses/course-v1:UTPL+GPDGY2+2019_2/about
Huertos familiares (Edición 12),HG12,/courses/course-v1:UTPL+HG12+2019_2/about
Introducción a la Biorremediación (Edición 11),INTRBIORREM11,/courses/course-v1:UTPL+INTRBIORREM11+2019_2/about
Introducción a la Economía (Edición 2),INTRECON2,/courses/course-v1:UTPL+INTRECON2+2019_2/about
Justo a tiempo (método TOYOTA) (Edición 12),JIT12,/courses/course-v1:UTPL+JIT12+2019_2/about
Legislación mercantil y societaria (Edición 2),MCS2,/courses/course-v1:UTPL+MCS2+2019_2/about
Marketing (Edición 2),MKTING2,/courses/course-v1:UTPL+MKTING2+2019_2/about
Introducción a la Educación Preescolar (Edición 2),PRESCHEDU2,/courses/course-v1:UTPL+PRESCHEDU2+2019_2/about
Realidad Nacional (Edición 2),REALNAT2,/courses/course-v1:UTPL+REALNAT2+2019_2/about
Psicología Social (Edición 2),SCLPSY2,/courses/course-v1:UTPL+SCLPSY2+2019_2/about
Manejo del recurso suelo (Edición 12),SRM12,/courses/course-v1:UTPL+SRM12+2019_2/about
Uso de las tecnologías de la información y la comunicación  (Edición 7),UTIC7,/courses/course-v1:UTPL+UTIC7+2019_2/about
Psicología General (Edición 2),GPSY2,/courses/course-v1:UTPL+GPSY2+2019_2/about
Razonamiento Abstracto  (Curso de Apoyo),ABSRSAPY1,/courses/course-v1:UTPL+ABSRSAPY1+2019_1/about
Preparación Específica para la Prueba de Admisión (Curso de Apoyo),ADMSSAPY1,/courses/course-v1:UTPL+ADMSSAPY1+2019_1/about
Biología (Curso de Apoyo),BIOLGAPY1,/courses/course-v1:UTPL+BIOLGAPY1+2019_1/about
